anio,provincia,sexo,grupo_edad,poblacion
2012,azuay,Hombre,0-14,109798
2012,azuay,Hombre,15-19,37086
2012,azuay,Hombre,20-29,67688
2012,azuay,Hombre,30-44,66492
2012,azuay,Hombre,45-64,45513
2012,azuay,Hombre,65+,22719
2012,azuay,Mujer,0-14,106587
2012,azuay,Mujer,15-19,37131
2012,azuay,Mujer,20-29,69889
2012,azuay,Mujer,30-44,73031
2012,azuay,Mujer,45-64,65769
2012,azuay,Mujer,65+,36915
2012,bolivar,Hombre,0-14,35137
2012,bolivar,Hombre,15-19,10855
2012,bolivar,Hombre,20-29,17337
2012,bolivar,Hombre,30-44,15394
2012,bolivar,Hombre,45-64,14335
2012,bolivar,Hombre,65+,8788
2012,bolivar,Mujer,0-14,33772
2012,bolivar,Mujer,15-19,10677
2012,bolivar,Mujer,20-29,17577
2012,bolivar,Mujer,30-44,18119
2012,bolivar,Mujer,45-64,15891
2012,bolivar,Mujer,65+,10339
2012,carchi,Hombre,0-14,24934
2012,carchi,Hombre,15-19,8590
2012,carchi,Hombre,20-29,15733
2012,carchi,Hombre,30-44,15291
2012,carchi,Hombre,45-64,12327
2012,carchi,Hombre,65+,6307
2012,carchi,Mujer,0-14,23949
2012,carchi,Mujer,15-19,8388
2012,carchi,Mujer,20-29,15262
2012,carchi,Mujer,30-44,17551
2012,carchi,Mujer,45-64,14494
2012,carchi,Mujer,65+,8391
2012,cañar,Hombre,0-14,38563
2012,cañar,Hombre,15-19,11737
2012,cañar,Hombre,20-29,18715
2012,cañar,Hombre,30-44,15126
2012,cañar,Hombre,45-64,14779
2012,cañar,Hombre,65+,8153
2012,cañar,Mujer,0-14,37264
2012,cañar,Mujer,15-19,11973
2012,cañar,Mujer,20-29,20951
2012,cañar,Mujer,30-44,23590
2012,cañar,Mujer,45-64,19508
2012,cañar,Mujer,65+,11104
2012,chimborazo,Hombre,0-14,75615
2012,chimborazo,Hombre,15-19,26336
2012,chimborazo,Hombre,20-29,40628
2012,chimborazo,Hombre,30-44,36956
2012,chimborazo,Hombre,45-64,34843
2012,chimborazo,Hombre,65+,17729
2012,chimborazo,Mujer,0-14,72652
2012,chimborazo,Mujer,15-19,25747
2012,chimborazo,Mujer,20-29,40645
2012,chimborazo,Mujer,30-44,45107
2012,chimborazo,Mujer,45-64,43034
2012,chimborazo,Mujer,65+,24221
2012,cotopaxi,Hombre,0-14,70343
2012,cotopaxi,Hombre,15-19,22512
2012,cotopaxi,Hombre,20-29,39168
2012,cotopaxi,Hombre,30-44,36386
2012,cotopaxi,Hombre,45-64,26033
2012,cotopaxi,Hombre,65+,12231
2012,cotopaxi,Mujer,0-14,67924
2012,cotopaxi,Mujer,15-19,22421
2012,cotopaxi,Mujer,20-29,39009
2012,cotopaxi,Mujer,30-44,42812
2012,cotopaxi,Mujer,45-64,31470
2012,cotopaxi,Mujer,65+,14469
2012,el_oro,Hombre,0-14,97723
